index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
122,6795.45,7583,5963,6343,1394,1414,2463,2797,2559,4394,5201,2801,1808,117,5,2,2,1,1,6
123,5728.5,23431,125488,124054,27058,48416,67588,47763,70082,85576,76323,42623,21733,2110,7,8,6,2,2,18
124,11843,21111,92240,98364,27520,36353,49873,53162,59100,60817,48977,21136,9630,527,6,3,3,1,1,8
125,22372,,451977,425590,101933,142012,207421,216993,262197,309961,268437,137714,62331,4079,8,17,1,6,4,28
126,409,4086,436345,411998,100729,139193,196936,208098,255870,297292,252486,130745,58481,3745,26,16,1,4,2,23
127,7990,,721996,700527,189754,260899,356811,385781,444529,502554,396357,163945,66653,3948,3,29,5,9,6,49
128,3401,3895,9198,8703,2975,2649,4042,4620,5470,7380,6339,3606,1601,40,3,1,0,1,1,3
129,1018,4071,8990,8809,3200,3427,3125,4580,6894,6061,6066,2990,1343,147,10,1,1,1,1,4
130,916,5148,12251,12707,2080,3251,3361,3870,6118,9663,11540,6577,3736,313,3,1,2,1,2,6
131,10407,15846,406954,393479,97409,120284,187073,194621,233312,258573,274118,142922,53126,3482,10,6,6,1,7,20
132,862,3963,1269108,1138410,268707,352457,701390,740341,725595,756197,638023,345433,146318,4702,14,41,108,19,13,181
133,28067,7781,751672,771157,280029,320796,401760,503969,568043,461652,295607,112221,37456,1944,21,29,11,9,6,55
134,7807,2658,162943,157827,43752,60832,78153,78286,98798,107917,91758,38596,20906,1425,14,4,6,3,3,16
135,6413,12566,168049,163072,46333,63199,80848,82544,102734,112293,95643,40491,21986,1482,6,4,5,3,3,15
136,706,,5441,5237,1748,1204,1410,2692,3167,4472,5247,3244,2531,230,5,1,0,1,0,2
137,2854,5212,194250,197234,50040,73713,91314,89052,122175,149983,114539,46091,14273,752,20,5,1,1,0,7
138,7741.49,17359,370532,380526,112619,144953,167704,191010,245913,285977,211828,80522,23981,1292,12,12,4,4,5,25
139,3714.26,13644,329719,340687,108054,127368,137177,180062,223253,245355,192263,73278,20811,1149,2,12,4,4,5,25
140,14567,52042,323417,334417,93367,120168,151918,168359,208805,253998,195609,75534,21914,1079,18,10,5,4,5,24
141,4347.19,,3386,4111,479,665,921,1034,1623,2453,2783,1448,824,69,5,1,1,1,1,4
142,13826,54985,719384,682135,228286,308225,337408,387578,512838,461127,306212,159250,65215,4143,35,23,18,10,3,54
143,,10485,412179,404883,150788,184421,197002,233280,308176,256130,158841,78373,31699,2526,10,11,13,4,2,30
144,13647,8493,865862,830744,258636,358028,427433,470556,600748,555850,370101,186748,76597,4889,37,31,18,10,3,62
145,4882,15974,255243,249619,92518,112374,118299,138253,189096,156081,102781,50953,20085,1515,12,5,7,3,1,16
146,7178,4836,339854,334044,127240,151918,159428,193806,256556,211639,135001,67664,27659,2284,19,10,11,4,2,27
147,8519,6082,2068055,1902036,414095,576677,1304045,1264342,1200923,1212514,1013760,571295,216960,5930,16,77,139,39,16,271
