size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
976,"13,820",11482.0,10893.0,2903.0,3535.0,3681.0,5219.0,6214.0,7940.0,8308.0,3314.0,1055.0,35.0,15.0,0.0,0.0,0.0,1.0,1.0
1248,"18,852",4975.0,4903.0,273.0,965.0,756.0,835.0,1563.0,3122.0,5312.0,3301.0,1970.0,164.0,3.0,1.0,1.0,1.0,2.0,5.0
1604,"9,500",716.0,730.0,167.0,296.0,257.0,281.0,333.0,478.0,455.0,148.0,42.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0
143.32,250,1211.0,1178.0,66.0,96.0,154.0,260.0,251.0,790.0,1636.0,824.0,568.0,17.0,5.0,0.0,0.0,0.0,1.0,1.0
658,"9,000",2515.0,2524.0,215.0,358.0,336.0,442.0,920.0,1848.0,2693.0,1798.0,1189.0,185.0,4.0,1.0,0.0,0.0,1.0,2.0
284.6,"2,443",4456.0,4325.0,244.0,654.0,566.0,641.0,1272.0,2527.0,4201.0,2755.0,2171.0,260.0,8.0,2.0,1.0,0.0,1.0,4.0
598.58,"5,760",12518.0,12634.0,2609.0,2757.0,4400.0,5292.0,6756.0,10452.0,11207.0,5846.0,2816.0,220.0,21.0,1.0,4.0,0.0,2.0,7.0
225,"15,351",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0
469.63,"2,640",212.0,189.0,236.0,49.0,86.0,469.0,181.0,117.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
652,"1,000",18463.0,17715.0,2858.0,4777.0,6519.0,6791.0,9662.0,11633.0,13090.0,7868.0,3287.0,168.0,6.0,0.0,3.0,0.0,1.0,4.0
135.09,"4,700",202.0,197.0,14.0,44.0,78.0,64.0,82.0,182.0,190.0,70.0,70.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0
1072,"2,000",215.0,214.0,29.0,32.0,27.0,25.0,58.0,144.0,129.0,117.0,129.0,49.0,8.0,0.0,0.0,0.0,1.0,1.0
514,150,230.0,214.0,61.0,148.0,72.0,84.0,159.0,176.0,271.0,149.0,46.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
858.8,"6,341",16523.0,14664.0,3262.0,4981.0,7030.0,6764.0,9242.0,11312.0,11055.0,5584.0,2624.0,128.0,4.0,1.0,0.0,0.0,2.0,3.0
557.6,"20,007",879.0,792.0,51.0,60.0,39.0,107.0,235.0,348.0,412.0,387.0,241.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
704.56,"9,542",1586.0,1703.0,182.0,382.0,449.0,466.0,808.0,1156.0,1440.0,918.0,577.0,42.0,10.0,1.0,1.0,1.0,2.0,5.0
1110,"100,000",6678.0,6284.0,1164.0,3302.0,2472.0,2250.0,3499.0,5332.0,5459.0,2949.0,1609.0,205.0,8.0,0.0,1.0,1.0,3.0,5.0
1602.4,"6,000",636.0,671.0,23.0,27.0,19.0,48.0,47.0,152.0,126.0,112.0,170.0,51.0,0.0,0.0,0.0,0.0,1.0,1.0
452,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
869.68,"3,880",12060.0,12131.0,1894.0,5210.0,7441.0,3857.0,5637.0,7121.0,7053.0,3902.0,1862.0,78.0,11.0,0.0,0.0,1.0,1.0,2.0
1137,"17,000",2513.0,2299.0,187.0,159.0,400.0,338.0,685.0,1389.0,2310.0,1939.0,1516.0,236.0,8.0,1.0,0.0,0.0,2.0,3.0
634.3,"15,000",259.0,254.0,41.0,57.0,65.0,70.0,101.0,150.0,147.0,161.0,74.0,25.0,5.0,0.0,0.0,0.0,1.0,1.0
158,"2,400",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
72.84,"8,000",3417.0,3135.0,553.0,711.0,607.0,959.0,1456.0,2099.0,2545.0,2120.0,1391.0,106.0,15.0,1.0,0.0,0.0,1.0,2.0
