index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
147,3171,84903,960022,903778,250209,346470,447706,555654,624625,605301,489053,236571,72780,3449,3,37,22,14,7,80
148,917,33110,90092,88313,19295,31568,46231,34623,51806,59070,56775,31114,15176,1132,7,3,15,4,3,25
149,804,6200,3398,3710,1826,1173,1456,2411,2301,2289,2594,1230,606,39,3,1,3,0,0,4
150,4098,39425,7517,7713,2024,1931,3013,3329,3207,4898,5673,2789,1720,87,4,1,4,2,2,9
151,964,11487,1545,1546,523,314,529,673,950,993,1473,637,375,6,0,0,1,0,0,1
152,372,12000,140091,132847,34574,52429,75386,61805,76320,86616,79213,38839,22287,1369,8,9,13,4,2,28
153,3873,29546,138034,130855,34329,52143,74851,61070,75618,85628,78213,37878,21764,1316,4,9,12,4,2,27
154,846,3935,10166,10507,1594,2957,2938,2893,4711,7324,9614,5310,2852,153,2,1,9,1,2,13
155,2519,42384,87986,83993,18959,31565,52428,36386,44333,52715,52000,26732,15894,971,4,4,7,1,0,12
156,854,300,609,785,405,290,218,500,476,376,535,83,191,0,2,0,4,0,0,4
157,11602,263621,17144,16710,8011,4861,5438,11709,10496,8977,9901,4029,2534,222,0,1,4,0,0,5
158,914,52500,43872,42987,9937,12674,14139,17607,24553,32021,32117,16394,8041,528,1,4,4,1,1,10
159,2107,5000,43877,42918,9834,12551,13913,17552,24475,31905,32322,16629,8255,557,11,4,4,1,1,10
160,351,500,12207,12679,3977,4315,5400,6805,7594,8864,9406,4865,3194,238,0,2,4,0,0,6
161,1849,,13093,13921,4441,5350,4707,6087,10025,10270,9462,5273,2921,224,4,0,1,0,0,1
162,4877,28532,2462,2534,259,494,672,441,803,1415,1863,990,599,83,2,0,1,0,0,1
163,2000,,8085,8159,1751,2167,2421,2986,4756,6156,6379,3696,1736,109,0,1,2,1,1,5
164,2265,35549,88279,86724,19213,31732,45823,34358,51244,57990,55398,29897,14525,1094,9,3,13,4,3,23
165,562,6000,4973,5212,1023,1589,1451,1900,2980,4021,4218,2593,1291,64,0,1,3,1,2,7
166,265,379,5181,5510,443,1328,869,1081,1905,3614,5168,3065,1788,135,2,0,6,0,1,7
167,2840,5000,6661,7050,945,1022,1783,1997,2322,4281,5865,3523,1979,149,0,1,1,1,2,5
168,284,290000,3536,3745,761,1400,1172,1286,1858,2750,3592,1707,1076,166,2,0,3,0,0,3
169,730,16030,81448,81802,19197,30778,39492,34241,47639,56995,52179,25487,13833,830,23,4,5,2,2,13
170,1538,10686,20692,23035,3626,6908,9299,8115,11267,15642,16366,9081,6015,492,4,2,2,1,2,7
171,4910,18378,337355,334111,93668,129793,180548,173314,209638,225379,179312,76390,35143,2218,10,12,14,3,4,33
172,1411,13839,17580,18210,4776,5119,7388,8929,9753,13878,13863,6349,3382,147,2,0,3,0,0,3
173,14238,29685,360457,357700,108012,141074,190907,194117,229602,235505,184589,77906,35800,2284,9,13,14,3,4,34
174,330,2920,62377,64667,15693,24642,32798,28229,36793,43133,41252,20460,11769,824,4,2,4,0,1,7
175,620,4000,246407,251287,76798,93267,133011,140953,157249,152332,127452,57898,29346,2106,0,10,14,3,3,30
176,981,3297,346205,342045,96059,133488,187461,178975,214218,230446,182865,77788,35727,2239,8,12,13,2,3,30
177,716,,349089,345938,98552,134203,186202,181973,217741,230799,183226,77613,35782,2287,10,12,14,3,4,33
178,851,14920,348141,345097,99500,133140,185208,182746,217153,229090,181719,77094,35736,2291,10,12,14,3,4,33
179,1408,13000,94949,93396,28333,34987,47322,48492,56342,56863,48306,22366,12207,754,0,1,4,1,0,6
180,1312,14298,43428,42093,9690,14324,15206,14932,20520,24320,26979,17362,11517,1027,4,2,9,3,1,15
181,1682,25238,84410,85760,21643,34966,43864,39402,53846,56607,49720,22848,12778,1236,4,3,7,2,1,13
182,485,9857,126868,130744,41991,61461,64272,68831,89538,76824,55268,27150,13322,988,3,5,7,4,4,20
183,850,5000,302123,307682,102430,129901,176918,188879,208631,190550,128583,48971,22382,1506,6,10,10,5,0,25
184,939,23591,32123,32182,7306,10486,10012,11320,18468,21035,21224,13022,7078,609,3,3,3,1,1,8
185,549,5475,4402,5307,568,1137,1340,1295,2436,3665,4137,2628,1363,52,0,0,2,0,0,2
186,419,85000,40178,39668,9188,13519,13601,13918,19851,23754,26843,17003,11061,839,0,2,9,2,0,13
187,182,,38475,41881,11304,14833,14834,18083,26002,27358,26020,14849,9030,649,11,2,5,0,0,7
188,957,111483,53369,56745,18762,21373,20200,28931,37535,35389,29150,15581,9438,674,2,3,5,1,2,11
189,1458,10000,34250,32234,4938,12479,17951,10037,15043,20114,22842,13496,8562,730,0,3,8,1,2,14
190,1463,79669,28033,26435,5662,8827,8334,8275,13819,19039,19049,12936,8592,770,0,3,3,3,1,10
191,489,2180,27159,25725,5529,9259,8246,8469,13867,17648,17993,11849,7985,851,6,3,3,1,3,10
192,465,7379,10539,10032,1501,2551,2455,2400,4058,6918,8047,6362,4810,538,15,2,3,1,1,7
193,3368,16899,125488,124054,27058,48416,67588,47763,70082,85576,76323,42623,21733,2110,7,8,6,2,2,18
194,8929,135634,85017,77887,18107,32894,38796,32637,46284,57993,51445,28478,13769,1502,2,2,5,0,3,10
195,1696,14197,37457,36068,8027,12951,11950,11841,20832,26220,23521,15584,10042,889,5,3,2,3,2,10
196,1094,22500,5943,5816,606,952,1067,1143,1744,3428,4735,3321,2324,119,20,2,2,0,1,5
197,431,2642,125687,124253,27114,48527,67673,47875,70282,85938,76923,43103,22031,2124,3,8,6,2,2,18
198,405,16399,323346,309962,83947,129919,170863,146655,193610,208798,166429,88597,41371,3313,8,13,18,8,6,45
199,,,2117,2208,107,123,292,379,539,1324,2012,1763,1437,192,0,0,2,0,0,2
200,922,3100,337764,324638,87866,135874,175900,152235,202575,217988,174107,93175,44018,3663,14,15,16,8,8,47
201,356,2000,334239,320688,87538,134707,175072,151639,200870,215324,171629,91433,43117,3469,16,13,17,8,6,44
202,2564,32850,26708,26137,6193,7983,11474,12116,14837,15168,13166,7368,3345,232,5,0,2,0,1,3
203,886,2657,13751,12788,2730,4583,4106,3725,6644,9511,9782,6372,4421,353,3,1,1,1,2,5
204,330,14160,124377,124294,34668,45760,49975,53506,79034,82421,74244,42652,19622,1762,16,7,7,3,2,19
205,449,18474,123462,123326,33730,45343,49584,52283,78444,82066,73979,42603,19517,1738,18,7,7,3,2,19
206,223,1378,6462,6355,1126,1856,1331,1777,3093,4225,5271,3517,2378,171,4,2,1,0,0,3
207,638,6000,328896,315224,85323,132177,172771,148728,196727,212144,169518,90541,42529,3379,10,13,18,8,6,45
208,400,7985,334978,321695,87606,135033,175282,151660,201092,215899,172165,91742,43223,3469,16,13,17,8,6,44
209,1112,,4194,4239,387,486,544,895,1324,2719,3851,3328,2708,313,2,0,3,0,0,3
210,446,27000,951,1086,105,100,109,227,354,613,1014,843,557,33,1,0,2,0,0,2
211,1656,107439,9064,8735,1714,1872,1435,2187,3907,5246,6374,5369,3674,270,3,2,5,1,1,9
212,2554,28436,130361,129170,35900,53017,51394,53445,83285,84461,74250,45334,20814,1412,15,5,14,2,3,24
213,2744,5400,137298,135002,38308,56751,55711,57310,87491,87125,75997,45602,21442,1505,2,6,14,3,2,25
214,1075,4557,2357,2129,570,990,663,699,1514,1867,2039,1284,929,73,2,0,4,0,0,4
215,1442,10538,11512,11139,2015,2719,2869,2932,4767,7988,9028,6620,5114,588,0,2,3,0,0,5
216,1614,18972,8689,8203,1349,1704,2102,2384,3839,5578,7056,5004,3578,386,0,2,5,1,1,9
217,1409,36352,2167,2417,137,217,327,324,706,1329,1834,1634,1017,74,1,1,1,0,0,2
218,11580,116485,142827,141137,45039,58661,64777,65519,88349,98747,75432,36329,18592,1817,10,9,2,1,2,14
219,3854,55547,12337,12014,1586,2681,3267,3040,4832,8531,10787,8392,5805,504,4,2,1,0,1,4
220,1090,18556,64753,58660,14420,23984,30339,22937,34274,38070,34929,22584,13876,1536,1,2,7,2,2,13
221,265,1200,133229,132167,37330,54337,53009,56011,85815,85799,74687,45451,20835,1412,26,6,14,3,3,26
222,685,1800,11670,10859,1203,1957,2068,2278,3489,6459,8323,6577,5500,524,0,1,4,1,1,7
223,140,175000,139329,138273,38677,56894,56131,57680,88228,88507,76917,46523,21581,1490,11,6,14,3,3,26
224,373,2000,281579,275402,83815,125212,152593,134878,185372,188709,124982,56860,24662,1938,2,6,7,3,2,18
225,822,360,3285,3075,995,1154,1151,1377,2179,2662,2883,1892,1227,50,0,0,4,1,0,5
226,965,9200,2439,2238,177,250,238,267,737,1421,2661,2033,1491,135,7,0,1,0,0,1
227,378,934,2635,2398,299,513,518,527,997,1816,2372,1687,1513,109,2,0,4,0,0,4
228,895,28034,15355,14744,3214,5579,5974,5591,7269,13019,12351,6159,3784,259,6,1,5,1,2,9
229,1300,7800,1667,1615,351,337,226,379,670,1140,1390,1394,952,111,4,0,1,0,0,1
230,835,2200,4836,4389,224,483,422,427,1203,2840,4281,4007,2777,304,2,1,2,0,0,3
231,407,2640,132119,129624,40285,52951,59455,58585,79118,91129,70606,35281,18526,1747,27,8,4,1,2,15
232,478,400,7785,7576,1166,1010,963,1603,2840,4435,5766,4960,3571,295,2,2,3,1,1,7
233,165,38000,4286,4142,962,1652,1275,1391,2309,3059,3310,2300,1452,191,1,0,2,0,0,2
234,1190,1100,62198,57533,16462,23291,27497,24765,35033,40015,33864,19456,11896,1325,11,2,4,1,2,9
235,206,18000,11469,10975,1605,1795,2266,2494,4077,6966,9180,7637,5275,371,8,2,2,1,1,6
236,905,2000,7404,7143,1905,2279,2726,2831,4701,5720,4863,2952,1892,319,2,0,2,0,0,2
237,245,7800,142541,141729,39255,57735,57776,58845,89857,91162,79730,48408,22818,1552,10,7,14,3,3,27
238,328,15000,3395,3210,1116,1283,1260,1434,2322,2698,2603,1792,1015,45,2,0,4,1,0,5
239,540,4630,113695,116577,28809,38048,45622,47315,64385,79388,71839,42108,17133,1329,9,6,1,4,0,11
240,1039,1400,49266,48943,16732,20899,18898,22734,32655,28906,22448,12381,6291,394,3,2,2,1,0,5
241,560,2500,5174,4664,556,1236,814,996,1775,2785,3754,3330,2191,450,0,1,1,0,2,4
242,793,4000,129440,128033,36103,52799,51100,53816,83213,83446,73339,44388,20481,1419,6,6,13,2,3,24
243,232,2500,6042,6039,650,1362,1130,1233,2312,3675,4566,3802,2741,220,0,0,2,0,0,2
244,686,2000,8339,7966,1624,1718,1554,2092,3671,4922,6169,4959,3376,257,3,2,7,2,1,12
