index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1170,1159,95025,14498,15805,7835,8155,4377,10187,14343,10250,7631,2045,349,10,18,1,1,0,0,2
1171,1194,112840,17392,21092,7089,10012,6701,9944,17144,15824,9164,2082,395,0,23,2,0,1,0,3
1172,1097,47353,1517,1513,560,527,355,798,1181,1248,847,424,178,5,14,1,0,0,0,1
1173,0,0,6411,7484,3025,2572,1766,3865,5556,5282,4497,1885,940,105,8,1,0,1,1,3
1174,2441,133501,16447,16044,2395,4194,3972,4180,6766,11504,13533,8877,6702,611,10,2,1,2,1,6
1175,499,6579,866,770,213,445,307,352,743,834,663,319,155,0,2,1,0,0,0,1
1176,6825,207594,46370,44969,15186,24403,18211,21199,37789,33730,18342,8011,2800,295,10,1,1,1,0,3
1177,5869,117655,34608,34900,5550,11611,22110,13395,18644,29415,21995,9086,3831,339,9,1,2,1,1,5
1178,2349,149412,30267,29626,13368,19123,9149,13889,27563,18543,8180,2889,452,0,14,2,1,1,0,4
1179,6568,145141,23815,24935,7985,10130,6999,10577,18238,14605,12786,6442,2986,364,19,2,2,1,1,6
1180,4245,133837,39510,38904,11269,18372,19702,17656,27924,32249,17411,5828,2133,130,22,1,0,0,0,1
1181,1458,89862,42667,41639,17510,25691,13942,19707,38597,27167,12862,5137,1588,251,11,2,1,1,0,4
1182,2345,57172,5422,5243,287,795,748,767,1525,3229,5223,3566,2659,343,6,2,1,1,2,6
1183,5907,231950,19444,18553,4501,6781,5881,7040,10842,13971,14794,8569,4075,237,11,2,1,0,1,4
1184,1141,63252,19444,18553,4501,6781,5881,7040,10842,13971,14794,8569,4075,237,9,2,1,1,1,5
1185,905,26277,10480,11265,2763,3727,3378,4512,6661,6618,5321,2820,1430,190,5,1,0,0,0,1
1186,2109,64643,18636,19260,3955,7193,7481,8378,12958,14329,11447,4954,1684,63,10,2,0,0,0,2
1187,996,20840,19395,19997,4607,7683,7687,8879,13733,14836,11616,4921,1684,63,24,2,0,0,0,2
