index,시설명,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
118,서호미술관,경기도 남양주시 화도읍 북한강로 1344,396,8100,37.6326814,127.3515141,71187,69851,19693,28316,27894,30108,49229,49777,38437,20470,8738,763,6,2,7,1,0,10
119,선바위미술관,경기도 과천시 무네미길 34,1539,,37.4518402,126.999276,1179412,1110153,255250,380096,685325,696056,720517,724886,594690,318489,105722,3486,19,37,29,16,5,87
120,설미재미술관,경기도 가평군 설악면 유명로 1454-38,500,960,37.657341,127.4644681,7108,7269,1168,3319,2434,2292,3413,4661,5887,3365,1935,123,0,1,1,0,0,2
121,소다미술관,경기도 화성시 효행로707번길 30,657,12287,37.2017734,127.0060025,625306,645998,216468,262503,349530,412125,466076,398259,261539,101735,33953,1512,16,25,7,8,5,45
122,소전미술관,경기도 시흥시 소래산길 41,962,9832,37.451189,126.7862553,1252550,1203512,308039,410201,590496,666738,770327,853459,731077,316915,118031,7155,11,34,13,11,8,66
123,아트린뮤지움,경기도 파주시 광탄면 기산로 186번길 59,1132,2014,37.7738995,126.9164341,55758,56539,10352,16946,20976,21426,29279,39581,38208,20724,12295,1769,4,3,6,0,1,10
124,아트센터 화이트블럭,경기도 파주시 탄현면 헤이리마을길72,1498,3488,37.7889407,126.6996106,135427,136527,50278,57449,59171,81864,95979,86938,58357,27813,13326,984,4,5,16,0,0,21
125,안상철미술관,경기도 양주시 백석읍 권율로 905,609,1529,37.7783873,126.9569881,89376,89099,17786,27131,41680,41930,50495,66101,60504,31485,16566,1843,12,3,5,1,1,10
126,안젤리미술관,경기도 용인시 처인구 이동읍 이원로 244,859,,37.1844013,127.2314729,83554,85622,25259,31593,44143,45499,55953,55337,43523,20407,8370,735,9,4,5,2,1,12
127,엄미술관,경기도 화성시 봉담읍 오궁길 37,398,2926,37.2055605,126.9792493,534374,548552,177684,217538,291243,339347,384869,343176,230572,89999,30450,1432,1,20,7,5,5,37
128,엠엠아트센터,경기도 평택시 포승읍 진목길 6,2251,,36.9929203,126.8552607,45544,54940,16547,20286,22053,28045,37506,32806,22774,10052,4998,382,3,2,1,1,1,5
129,여주미술관,경기도 여주시 상거동 463 아트뮤지엄 려,561,22904,37.2390645,127.6096348,43628,44175,10253,15768,20955,18116,25263,29853,26726,13063,6577,559,0,5,8,2,1,16
130,영은미술관,경기도 광주시 청석로 300,6372,8464,37.4136307,127.2681588,151259,153866,51089,55669,63855,82785,106670,103785,85599,37058,11754,462,8,7,3,1,1,12
131,유리섬미술관,경기도 안산시 단원구 부흥로 254,1802,31900,37.220616,126.6019688,6711,7367,937,1329,2569,2744,3338,5489,5668,2429,1447,152,6,1,4,0,0,5
132,이함미술관,경기도 양평군 강하면 강남로 370-10,987,15000,37.5023579,127.4252396,29298,28797,6786,9652,10006,10863,16297,20796,22672,11684,5249,273,2,2,4,0,2,8
133,일지미술관,경기도 가평군 조종면 운악청계로 140,168,,37.8327059,127.3452497,6987,7753,1596,1548,2328,2532,3217,4875,6765,3623,2063,114,4,1,1,0,0,2
134,정문규미술관,경기도 파주시 탄현면 새오리로 199,926,,37.8010861,126.6881357,58402,62372,18659,23703,28717,34429,39585,41502,30167,14818,7944,820,4,2,14,0,0,16
135,종이미술관,경기도 안산시 단원구 대남로233,595,32500,37.2244501,126.576356,5488,5890,806,1044,1985,2179,2519,4071,4088,1683,854,70,2,1,4,0,0,5
136,죽포미술관,경기도 여주시 산북면 고촌길 26-10,544,500,37.4100935,127.442589,13903,14451,3058,4448,5937,5713,7970,10781,12168,6303,3409,216,0,0,2,0,0,2
137,콩세유미술관,"경기도 파주시 광탄면 세류길 7, 2층",485,1260,37.7389845,126.8789433,100963,99103,22727,31396,38607,42472,58296,70402,61286,30018,15685,1652,7,3,6,0,1,10
