index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
584,지혜샘어린이도서관,2447,202235,37.2480172,127.0399992,101402,103558,31407,37437,63238,71052,71209,65297,39418,11019,3267,138,20,5,0,2,0,7
585,월곶도서관,1608,60821,37.3888283,126.7362569,53146,52248,20169,26604,20871,27886,41715,35745,21740,7359,2783,177,8,4,1,1,1,7
586,소래빛도서관,2993,149127,37.4438521,126.7926022,62735,62390,21223,22158,31509,36768,40961,47715,34601,11267,4751,385,18,3,2,3,0,8
587,시흥시군자도서관,1499,72884,37.3456138,126.7851396,28392,31264,6550,11611,14459,13563,19757,23795,17064,7151,3031,253,11,1,0,0,0,1
588,시흥시능곡도서관,3561,137840,37.371361,126.813185,22925,22349,8488,10019,14903,13783,15170,14854,7643,2382,1211,104,16,1,0,0,0,1
589,시흥시대야도서관,1529,145257,37.4455184,126.796802,62228,61825,21133,21973,31102,36421,40587,47030,33993,11093,4659,385,12,3,2,3,0,8
590,시흥시매화도서관,797,10595,37.4176612,126.8155451,7442,7996,2638,2891,3894,4207,5544,6332,4914,1933,879,90,12,1,0,0,0,1
591,시흥시배곧도서관,3896,225317,37.3734995,126.7338244,48643,49868,18997,21431,23823,31519,38156,31483,15719,4151,1897,145,6,2,0,1,1,4
592,시흥시신천도서관,663,32493,37.4384081,126.7850197,62321,62104,21114,22123,31478,36651,40728,47613,34557,11258,4747,385,34,3,2,3,0,8
593,시흥시장곡도서관,1920,77591,37.377572,126.7830466,21572,21836,9722,9443,9617,14050,16095,14162,7508,2552,1414,104,8,1,0,0,0,1
594,시흥시중앙도서관,3904,199320,37.3480767,126.7356877,43352,52682,11811,18736,24341,25615,36416,38579,20738,5753,2411,185,21,2,0,1,0,3
595,시흥시 목감도서관,2983,192863,37.3845979,126.861018,18662,18899,8128,6033,6534,11945,13393,10828,9006,3583,1236,73,14,1,0,0,0,1
596,정왕어린이도서관,997,78813,37.345256,126.7480646,28528,39213,8075,11929,17174,18549,25066,25570,14689,3961,1491,109,11,2,0,1,0,3
597,대부도서관,997,26499,37.241608,126.58362,1748,1775,131,154,355,558,638,1300,1554,621,262,19,9,1,0,0,0,1
598,반월도서관,956,37741,37.3093056,126.9027965,11109,10976,3137,3118,5365,6823,6536,7900,7209,3335,1111,52,9,1,1,0,0,2
599,본오도서관,740,19265,37.2939523,126.872278,59236,60871,12207,21360,37244,30539,38104,49445,30643,12222,5145,182,17,3,1,1,0,5
600,선부도서관,1083,35504,37.3409109,126.8061931,68315,72402,17042,25669,39124,38693,46108,56147,37548,12706,4322,234,16,3,2,0,0,5
601,수암도서관,547,15380,37.3644223,126.8771657,4903,5213,1055,1381,1980,2156,2860,3829,3988,1644,699,16,5,1,0,0,0,1
602,원고잔도서관,783,24480,37.3246461,126.82472,83488,83430,21844,30378,53762,48325,53246,66284,43563,12629,4310,346,5,2,2,2,0,6
603,안산시관산도서관,3737,44356,37.3321344,126.7995789,60511,63481,14536,21094,33944,34562,39525,49810,34225,11711,4014,200,17,3,2,0,0,5
604,안산시성포도서관,2811,57687,37.3251265,126.8503614,72214,71975,15556,24596,47121,37571,41540,58543,39504,12972,5797,454,13,2,2,0,0,4
605,안산시중앙도서관,7658,277629,37.3044336,126.8212316,53996,53840,16638,22023,28251,29008,35978,40582,25886,7887,4444,760,6,2,0,1,0,3
606,안산시 감골도서관,3351,121595,37.2926494,126.854517,74708,77685,14997,26845,47868,38709,47601,61554,37989,14465,6856,490,16,3,2,1,1,7
607,안산시 부곡도서관,428,17644,37.3326386,126.8608516,45743,45532,9737,15989,27482,22104,26134,38282,25456,8423,3938,240,24,2,1,0,0,3
608,안산시 일동도서관,772,11106,37.3153691,126.8717092,33320,34227,6489,11253,19347,15957,20279,26545,16994,7457,3121,94,5,2,0,1,0,3
609,안산미디어라이브러리,2830,37297,37.3071108,126.8313288,74552,74872,18303,26156,45799,40330,45672,55427,36747,11971,6586,1008,14,2,0,1,0,3
