city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
경상북도,고령군,쌍림 행복이음터,경상북도 쌍림면 귀원리 272-3,158,"2,400",35.678044,128.2427955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
경상북도,영덕군,영덕생활문화센터,경상북도 영덕군 영덕읍 덕곡천길 52,72.84,"8,000",36.4106208,129.3716998,3417.0,3135.0,553.0,711.0,607.0,959.0,1456.0,2099.0,2545.0,2120.0,1391.0,106.0,15.0,1.0,0.0,0.0,1.0,2.0
경상북도,영천시,영천문화원생활문화센터,경상북도 영천시 문화원길6(창구동),636.18,"4,400",35.9673902,128.9333602,7687.0,7380.0,2468.0,3143.0,3595.0,3978.0,5661.0,6741.0,5608.0,2604.0,1416.0,144.0,10.0,1.0,0.0,1.0,2.0,4.0
경상북도,영덕군,예주생활문화센터,경상북도 영덕군 영해면 318 만세길 36,317.8,"12,480",36.5298725,129.4052836,875.0,704.0,292.0,189.0,214.0,306.0,632.0,547.0,605.0,480.0,327.0,6.0,4.0,0.0,0.0,1.0,1.0,2.0
경상북도,경주시,황리단길 생활문화센터,경상북도 경주시 포석로 1058-26,631.3,,35.8353578,129.2105339,2978.0,2798.0,388.0,1004.0,1599.0,970.0,1456.0,2623.0,2990.0,1772.0,1140.0,77.0,9.0,1.0,0.0,1.0,1.0,3.0
고성군,,고성문화의집,강원도 고성군 간성읍 간성로 71-7,1457.6,12541,38.37873075,128.4669086,1364.0,1554.0,368.0,210.0,402.0,561.0,400.0,749.0,1333.0,703.0,353.0,45.0,9.0,1.0,0.0,1.0,2.0,4.0
고양시,,고양문화의집,경기도 고양시 일산서구 산현로 99,1819.4,54269,37.69232087,126.7722743,39704.0,36890.0,10135.0,14055.0,20760.0,20583.0,26371.0,33324.0,22123.0,9008.0,5625.0,361.0,23.0,1.0,0.0,0.0,1.0,2.0
공주시,,유구문화의집,충청남도 공주시 유구읍  유구외곽로 322,932.96,,36.543366,126.9479904,470.0,567.0,303.0,354.0,84.0,202.0,652.0,322.0,16.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0
광명시,,광명문화의집,경기도 광명시 너부대로32번길 15-3,543.56,2034,37.47668437,126.8497393,35285.0,33480.0,6456.0,10413.0,13977.0,15397.0,19788.0,22393.0,22043.0,11336.0,4050.0,123.0,15.0,0.0,0.0,1.0,1.0,2.0
광명시,,하안문화의집,경기도 광명시 철망산로42 2층,312.3,1991,37.46746752,126.8732024,41804.0,39423.0,11895.0,16933.0,17072.0,21776.0,29184.0,27705.0,21026.0,8788.0,3165.0,122.0,8.0,1.0,0.0,1.0,2.0,4.0
광주,광산구,광산문화원,광주광역시 광산구 상무대로 265,896,"5,000",35.1424988,126.7950943,8550.0,9028.0,3195.0,3830.0,4505.0,5108.0,7113.0,6366.0,4308.0,2476.0,977.0,55.0,10.0,1.0,0.0,1.0,2.0,4.0
광주,남구,남구문화원,광주광역시 남구 봉선로 208 남구종합문화예술회관 6층,194,"20,000",35.1220621,126.9174528,20111.0,17561.0,5717.0,9883.0,7225.0,7470.0,13199.0,11940.0,9789.0,5178.0,2213.0,95.0,5.0,1.0,0.0,1.0,2.0,4.0
광주,동구,동구문화원,광주광역시 동구 예술길 18-1 2층 (궁동),312,"3,000",35.1500774,126.9181517,16137.0,16393.0,2217.0,3124.0,9752.0,6588.0,7186.0,8989.0,9619.0,6513.0,3343.0,302.0,24.0,3.0,5.0,2.0,2.0,12.0
광주,북구,북구문화원,광주광역시 북구 향토문화로 65 북구평생학습관 4층,,"15,000",35.1728612,126.9136477,20582.0,19678.0,3615.0,4610.0,11409.0,9526.0,9537.0,11289.0,11061.0,7106.0,2960.0,136.0,12.0,1.0,2.0,1.0,1.0,5.0
광주,서구,서구문화원,광주광역시 서구 풍금로 182(금호동),144,"5,000",35.1320456,126.8597956,22797.0,21147.0,6099.0,10885.0,11385.0,9023.0,15711.0,18721.0,11767.0,5312.0,1585.0,44.0,10.0,1.0,0.0,2.0,2.0,5.0
광주광역시,광산구,광산생활문화센터,광주광역시 광산구 상무대로 265,,,35.1424988,126.7950943,8550.0,9028.0,3195.0,3830.0,4505.0,5108.0,7113.0,6366.0,4308.0,2476.0,977.0,55.0,9.0,1.0,0.0,1.0,2.0,4.0
광주광역시,서구,광주 서구 생활문화센터,광주광역시 서구 마재로 3,414.6,"9,804",35.1313612,126.8602571,23015.0,21459.0,6134.0,11002.0,11474.0,9142.0,15798.0,18854.0,11910.0,5380.0,1600.0,44.0,8.0,1.0,0.0,2.0,2.0,5.0
광주광역시,남구,남구 생활문화센터,광주광역시 남구 봉선로 208 (봉선동),1465.29,"6,404",35.122053,126.9175307,20111.0,17561.0,5717.0,9883.0,7225.0,7470.0,13199.0,11940.0,9789.0,5178.0,2213.0,95.0,4.0,1.0,0.0,1.0,2.0,4.0
광주광역시,서구,농성문화의집 생활문화센터,광주광역시 서구 화정로 314 농성2동주민센터 2층,446.16,"15,015",35.1503853,126.8902548,21763.0,21831.0,5142.0,5721.0,9652.0,10968.0,11990.0,12870.0,12961.0,9501.0,4261.0,285.0,12.0,1.0,0.0,0.0,2.0,3.0
