index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
86,중랑구민회관,1925,4081,37.5737227,127.0847565,2016801,1870683,450289,613012,1099379,1139929,1217060,1246980,1084362,572824,201553,6471,17,77,46,24,14,161
87,죽전야외음악당,1343,,37.3256824,127.1266626,699655,662091,225497,305919,318830,369434,502224,445727,288246,150966,61580,3966,18,22,16,10,3,51
88,종로아이들극장,1185,20266,37.5903566,126.9988422,1994512,1814682,387168,532197,1150094,1108020,1115229,1226270,1079336,600171,246942,6811,14,74,135,33,17,259
89,종로구민회관,,,37.5735118,127.0144845,1957762,1789255,396741,546651,1144027,1113296,1132123,1205072,1033892,575796,230613,6632,35,81,138,37,16,272
90,제천시문화회관,4160,2342,37.1248054,128.215548,57043,56487,13142,19829,24815,21152,30941,40202,40156,19859,9954,513,4,5,3,1,3,12
91,제주특별자치도 설문대여성문화센터,6622,5672,33.4844046,126.500493,190330,184669,63171,80112,87800,93731,122989,127630,91716,43929,19656,1776,5,6,16,6,11,39
92,제주영상미디어센터,,,33.5063978,126.5339123,180013,175035,60599,76465,82249,89117,116811,120757,86613,41507,18157,1616,10,6,15,6,9,36
93,제주아트센터,8606.8,32575,33.4750765,126.5152756,188087,182660,62526,79517,86940,93001,121381,125245,89558,42316,18662,1664,2,6,15,6,11,38
94,제주문예회관,5811.56,20130,33.5044769,126.53519,180251,175277,60688,76590,82347,89211,116977,120891,86723,41542,18164,1616,14,6,15,6,9,36
95,제주돌문화공원,34042,,33.4373391,126.6668484,6759,6786,2203,2656,2339,2801,4288,4443,3313,1773,985,168,0,0,6,1,0,7
96,제주대학교 아라뮤즈홀,879.45,,33.4547583,126.5622562,166147,161174,55958,70568,75855,81932,107819,110297,79943,38872,17121,1465,0,5,16,6,9,36
97,제주 탑동해변공연장,1955,,33.5165641,126.5240027,179534,174544,60781,76858,83191,89480,117232,121384,86499,41181,17955,1560,10,6,15,6,9,36
98,정읍사예술회관,1067,2389,35.5532973,126.8620827,37457,36068,8027,12951,11950,11841,20832,26220,23521,15584,10042,889,4,3,2,3,2,10
99,정읍 연지아트홀,2017,1987,35.566248,126.8465661,38755,37345,8194,13210,12260,12079,21352,26910,24611,16441,10473,961,8,3,3,3,2,11
100,정선아리랑센터,6271,593,37.375425,128.6714868,5771,5944,1133,1971,1599,2189,3501,4640,5000,2916,1462,64,6,1,3,1,3,8
101,전주한벽문화관,6749.2,962,35.8120923,127.1589177,311473,298679,80680,123995,165617,142434,186183,202166,161350,85468,39445,3192,6,13,18,8,6,45
102,전주소리문화관,486.5,,35.817583,127.1530835,322194,308919,83707,129360,170087,146003,192746,207628,165383,87867,41080,3313,10,13,17,8,6,44
103,전북예술회관,3080.79,4015,35.8177978,127.147367,329759,316241,85990,132747,173210,149597,197888,212943,170194,90843,42612,3379,18,13,17,8,6,44
104,전북대학교 삼성문화회관,8595.041,31952,35.8384982,127.1348527,336060,322724,88467,135928,176349,153078,202655,216941,172298,91580,42982,3471,15,16,17,9,8,50
105,전라남도학생교육문화회관,8936,,34.77995,127.6439994,104447,107266,28261,36452,43142,45484,61674,73561,65069,36938,14518,1111,7,5,1,2,0,8
106,장흥문화예술회관,1648,2997,34.676836,126.8984759,10909,10188,1161,2628,2120,2070,3753,7537,9272,7124,5323,502,0,2,3,1,1,7
107,장안구민회관 한누리아트홀,,8332,37.3037564,127.0100865,925926,914332,272894,357839,484871,529318,616676,610954,428235,185775,70588,3725,16,33,11,10,6,60
108,장수한누리전당,482,,35.6415453,127.518373,4619,4508,533,1219,915,923,1900,3412,4405,3151,2319,183,2,1,0,1,2,4
109,장성문화예술회관,3546,6712,35.3030286,126.7670138,12969,12467,2316,2805,2785,2964,5373,7604,8896,7321,4881,342,3,2,3,1,1,7
110,잡월드 나래울극장,690,22208,37.3784972,127.1062767,612857,588581,177131,236904,279265,332748,416845,401554,296282,153439,59275,2859,7,16,9,10,5,40
111,작은공연장 단,1140,3,37.7512744,128.892749,90092,88313,19295,31568,46231,34623,51806,59070,56775,31114,15176,1132,12,3,15,4,3,25
112,인천학생교육문화회관,23768.26,5651,37.4755911,126.6306729,836715,826227,220661,279467,400231,453800,528089,561442,478173,212746,82018,4943,29,30,19,14,14,77
